,Unnamed: 0,상품명,가격,상품번호,상품상태,브랜드,원산지,세부제품특징,사용부위,사용시간,제품형태,용량,용기형태,피부타입,주요제품특징,모델명,제조사,혜택조건,세트수량,반품안심케어 가입 안내,이벤트,제조일자,유효일자,기타,사은품,PA지수,자외선차단지수,성분,종류,세트구성,매수,구분,url
1897,0,[닥터지] 레드 블레미쉬 쿨 수딩 마스크 10P 쿨링 진정 마스크팩,"40,000",4667008239,신상품,닥터지,국산,"피부탄력, 영양공급, 저자극, 밀착력",페이스용,,시트형,30ml(g),,"모든피부용, 민감성","촉촉함(수분공급), 트러블케어, 피부진정",레드 블레미쉬 쿨 수딩 마스크 30ml,한국콜마㈜,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009786/products/4667008239
1898,0,최대 65% / 달바 비건 미스트 60ml+비타민씨 짝꿍세트 37% 프리미엄 캡슐 / 더블 세럼 궁합 / 생기 탄력,"62,000",5658787346,신상품,달바,국산,"피부강화, 피부탄력, 영양공급",페이스용,밤,캡슐/정,,,,촉촉함(수분공급),,블리스팩,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100002853/products/5658787346
1899,0,[네이처리퍼블릭] 진생 로얄 실크 워터리 크림 with 아이크림 기획세트,"176,000",5968581286,신상품,네이처리퍼블릭,국산,"윤기부여, 영양공급, 주름케어, 안티에이징, 피부탄력","페이스용, 아이용","낮, 밤",크림형,,,,"촉촉함(수분공급), 부드러운 발림",,코스맥스(주),,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100131709/products/5968581286
1900,0,[오리진스] [홀리데이/1+1] [꿀잠 수면팩] 드링크업 마스크 75ml 세트,"39,000",6858524200,신상품,오리진스,미국산(이엘씨에이한국(유)),"영양공급, 피부탄력, 흡수력",,,,,,모든피부용,"촉촉함(수분공급), 피부진정",드링크업 인텐시브 마스크 75ml,오리진스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/101599524/products/6858524200
1901,0,뮤스템 수딩 & 리페어 로션 200g + 클렌저 미니어처 20g 증정,"41,000",3808569055,신상품,,국산,,페이스용,"낮, 밤",,,펌프형,모든피부용,촉촉함(수분공급),,한솔,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100258677/products/3808569055
1902,0,이니스프리 화산송이 모공 바하 클렌징 오일 150mL,"23,000",6748350613,신상품,이니스프리,한국,"피지케어, 트러블케어, 블랙헤드케어, 모공케어, 각질케어",,,,150ml(g),,"모든피부용, 지복합, 지성","저자극, 세정력, 촉촉함(수분공급)",이니스프리 화산송이 모공 바하 클렌징 오일 150mL,코스비전,,,,"모공클렌징오일,화산송이,딥클렌징,블랙헤드,각질케어",,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100550450/products/6748350613
1903,0,메디앤서 콜라겐 퍼밍업 넥 마스크(1매),"5,000",3213487816,신상품,어바웃미,국산,"밀착력, 피부탄력, 저자극, 피부결정돈, 영양공급",넥,,시트형,9g,,모든피부용,"촉촉함(수분공급), 피부진정",,이미인,,,,,,,,"3만원 이상 구매 시, 비건인증 스킨전용 화장솜 증정(80매)",,,,,,,,https://shopping.naver.com/beauty/stores/100025957/products/3213487816
1904,0,[프랑스와즈]호호바오일 유기농 페이스오일50ml 1+1+1,"59,400",4579185509,신상품,프랑스와즈,독일산(독일),"피부탄력, 피부유연, 피부보호",페이스용,,,,,,흡수력,호호바오일 유기농 냉압착,네이처클리닉,,,,유럽 100년기업 직수입 천연화장품 NO.1  프랑스와즈,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100164998/products/4579185509
1905,0,정샘물 에센셜 물 라인 (물 크림 라이트 마스크 토너 스틱 글로우 립밤 외),"35,000",1000830503,신상품,정샘물,국산,"화이트닝, 주름케어, 안티에이징, 흡수력",페이스용,"낮, 밤",액상형,,,,촉촉함(수분공급),,코스맥스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000007766/products/1000830503
1906,0,키오스킨 엘시스테인 멜라케어 앰플 10ml x 3ea - 7일 기적의 멜라케어 앰플,"79,000",6715452014,신상품,키오스킨,국산,"저자극, 피부강화, 화이트닝, 주름케어, 피부투명",페이스용,"낮, 밤",액상형,,,,"촉촉함(수분공급), 흡수력",키오스킨 엘시스테인 멜라케어 앰플,뉴앤뉴,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/101559689/products/6715452014
